Código OACI;CIAD;Nome;Município;UF;Latitude;Longitude;LatGeoPoint;LonGeoPoint;Operação;Tipo;Validade do Registro
SIKF;SP0516;Plaza Iguatemi;São Paulo;SP;23 34 36S;046 41 12W;-23.5767;-46.6867;VFR;PRIV;2018-07-19Z
SIIR;SP0506;Brascan Century Plaza;São Paulo;SP;23 35 03S;046 40 32W;-23.5842;-46.6756;VFR;PRIV;2018-07-19Z
SIXS;SP0574;EZ Towers A;São Paulo;SP;23 37 37S;046 42 09W;-23.6269;-46.7025;VFR;PRIV;2018-07-19Z
SDGZ;SP0341;Bradesco Cidade de Deus;Osasco;SP; 23 32 58S; 046 46 20W;-23.5494;-46.7722;VFR;PRIV;2021-08-19Z
SDCY;SP0307;São Paulo Corporate Towers;São Paulo;SP; 23 35 30S; 046 41 16W;-23.5917;-46.6878;VFR;PRIV;2022-01-20Z
SWCX;SP0866;Icon Realty Cajamar;Cajamar;SP; 23 22 34S; 046 50 34W;-23.3761;-46.8428;VFR;PRIV;2020-08-13Z
SJII;SP0626;Silva Jardim;São Bernardo do Campo;SP; 23 42 48S; 046 32 49W;-23.7133;-46.5469;VFR;PRIV;2018-11-08Z
SDBH;SP0296;Bandeirantes;São Paulo;SP;23 35 43S;046 42 39W;-23.5953;-46.7108;VFR DIURNA;PRIV;2024-03-28Z
SWHH;SP0808;Banco Santander;São Paulo;SP; 23 35 27S; 046 41 27W;-23.5908;-46.6908;VFR;PRIV;2021-03-04Z
SDDH;SP0309;Birmann 29;São Paulo;SP;23 35 19S;046 40 52W;-23.5886;-46.6811;VFR;PRIV;2018-07-19Z
SDEL;SP0319;Condomínio Edifício Spazio JK;São Paulo;SP;23 35 28S;046 41 08W;-23.5911;-46.6856;VFR;PRIV;2018-07-19Z
SIBG;SP0466;Banco Induscred;São Paulo;SP; 23 33 52S; 046 39 21W;-23.5644;-46.6558;VFR;PRIV;2023-12-28Z
SDXQ;SP0445;Internacional Plaza II;São Paulo;SP; 23 35 28S; 046 40 56W;-23.5911;-46.6822;VFR;PRIV;2018-10-25Z
SWYD;SP0841;Spazio Faria Lima;São Paulo;SP; 23 35 07S; 046 40 56W;-23.5853;-46.6822;VFR;PRIV;2022-03-31Z
SSAW;SP0743;West Gate;Barueri;SP;23 30 10S;046 50 53W;-23.5028;-46.8481;VFR DIURNA;PRIV;2018-07-19Z
SDJK;SP0363;Centro Empresarial Araguaia;Barueri;SP;23 30 07S;046 50 31W;-23.5019;-46.8419;VFR;PRIV;2018-07-19Z
SDFW;SP0332;Condomínio Edifício San Paolo;São Paulo;SP;23 34 30S;046 41 16W;-23.575;-46.6878;VFR;PRIV;2018-07-19Z
SDTC;SP0422;Edifício Edel Trade Center;São Paulo;SP; 23 36 09.29S; 046 39 38.02W;-23.6025;-46.6606;VFR;PRIV;2018-07-19Z
SDAP;SP0290;Hospital Paulistano;São Paulo;SP;23 33 55S;046 38 32W;-23.5653;-46.6422;VFR;PRIV;2022-11-17Z
SIIH;SP0504;Torre 2000;São Paulo;SP;23 34 00S;046 41 11W;-23.5667;-46.6864;VFR;PRIV;2018-07-19Z
SDDY;SP0312;Cesari;Cubatão;SP;23 49 25S;046 22 04W;-23.8236;-46.3678;VFR;PRIV;2018-07-19Z
SSUN;SP0783;Terminal Petrobrás de Guarulhos;Guarulhos;SP;23 28 14S;046 26 50W;-23.4706;-46.4472;VFR DIURNA;PRIV;2018-07-19Z
SSXK;SP0789;Kartódromo Ayrton Senna;São Paulo;SP; 23 42 11S; 046 41 33W;-23.7031;-46.6925;VFR;PRIV;2023-04-06Z
SDOT;SP0399;Attilio Tinelli;São Paulo;SP; 23 36 09S; 046 41 37W;-23.6025;-46.6936;VFR;PRIV;2018-09-13Z
SJES;SP0615;Main Estate;Guarulhos;SP;23 27 29S;046 28 18W;-23.4581;-46.4717;VFR;PRIV;2018-07-19Z
SD3C;SP1329;Thera Corporate;São Paulo;SP; 23 35 56 S; 046 41 24 W;-23.5989;-46.69;VFR;PRIV;2021-05-06Z
SJZY;SP0688;Centro Administrativo Rio Negro;Barueri;SP; 23 30 01.78S; 046 50 55.16W;-23.5003;-46.8486;VFR;PRIV;2018-07-19Z
SDHT;SP0348;Cetenco Plaza - Torre Norte;São Paulo;SP;23 33 32S;046 39 27W;-23.5589;-46.6575;VFR DIURNA;PRIV;2018-07-19Z
SSOV;SP0766;Icon Alphaville;Barueri;SP;23 29 34S;046 50 53W;-23.4928;-46.8481;VFR;PRIV;2018-07-19Z
SJBP;SP0600;Atrium VI.com;São Paulo;SP;23 35 44S;046 41 15W;-23.5956;-46.6875;VFR;PRIV;2023-11-16Z
SSOA;SP0764;Blue Tree Tower Faria Lima;São Paulo;SP;23 35 28S;046 40 51W;-23.5911;-46.6808;VFR;PRIV;2018-07-19Z
SDNR;SP0391;Banco Santander;São Paulo;SP;23 39 08S;046 42 50W;-23.6522;-46.7139;VFR;PRIV;2018-07-19Z
SJGM;SP0619;Quadra Hungria;São Paulo;SP;23 34 30S;046 41 46W;-23.575;-46.6961;VFR;PRIV;2018-07-19Z
SIOW;SP0536;Hospital Alemão Oswaldo Cruz;São Paulo;SP; 23 34 11.33S; 046 38 36.55W;-23.5697;-46.6433;VFR;PRIV;2023-11-23Z
SIMT;SP0530;Pedreira Maria Teresa LTDA;São Vicente;SP;23 55 31S;046 27 42W;-23.9253;-46.4617;VFR;PRIV;2018-07-19Z
SWEG;SP0802;Engevix;Barueri;SP;23 30 09S;046 49 40W;-23.5025;-46.8278;VFR;PRIV;2018-07-19Z
SWEL;SP0849;Limão;São Paulo;SP; 23 30 20S; 046 40 50W;-23.5056;-46.6806;VFR;PRIV;2019-07-18Z
SDVR;SP0436;Pátio Victor Malzoni;São Paulo;SP;23 35 12S;046 40 54W;-23.5867;-46.6817;VFR;PRIV;2018-07-19Z
SDPK;SP0402;Panco I;São Paulo;SP;23 31 41S;046 29 42W;-23.5281;-46.495;VFR;PRIV;2018-07-19Z
SSEJ;SP0747;Moinho Velho;Embu das Artes;SP; 23 37 34S; 046 50 44W;-23.6261;-46.8456;VFR;PRIV;2021-03-18Z
SSUB;SP0779;HBR;Osasco;SP;23 28 43S;046 46 52W;-23.4786;-46.7811;VFR;PRIV;2018-07-19Z
SWNX;SP0871;Tek Nações Unidas;São Paulo;SP; 23 37 01S; 046 42 07W;-23.6169;-46.7019;VFR;PRIV;2021-12-23Z
SJSL;SP0658;Hospital Sírio Libanês II;São Paulo;SP;23 33 26S;046 39 11W;-23.5572;-46.6531;VFR;PRIV;2018-07-19Z
SDGE;SP0334;Casas Bahia;São Caetano do Sul;SP; 23 36 40S; 046 34 15W;-23.6111;-46.5708;VFR;PRIV;2021-05-06Z
SDHB;SP0342;Bradesco;Osasco;SP; 23 32 54S; 046 46 08W;-23.5483;-46.7689;VFR;PRIV;2021-03-18Z
SIBM;SP0468;Hangar ABC;São Caetano do Sul;SP;23 37 01S;046 34 49W;-23.6169;-46.5803;VFR;PRIV;2018-07-19Z
SIQM;SP0542;Morumbi Corporate;São Paulo;SP;23 37 30S;046 42 07W;-23.625;-46.7019;VFR;PRIV;2018-07-19Z
SDAC;SP0286;Aché;Guarulhos;SP; 23 28 29S; 046 31 20W;-23.4747;-46.5222;VFR;PRIV;2020-09-10Z
SDNP;SP0390;Condomínio Conde Matarazzo;São Paulo;SP;23 32 52S;046 38 16W;-23.5478;-46.6378;VFR;PRIV;2018-07-19Z
SJXP;SP0678;Alice Maria Sampaio Ferreira;São Paulo;SP; 23 36 40.23S; 046 41 39.86W;-23.6111;-46.6942;VFR;PRIV;2024-04-04Z
SWSK;SP0829;Akron;São Paulo;SP;23 36  33S;046 36 21 W;-23.6092;-46.6058;VFR DIURNA;PRIV;2018-07-19Z
SN66;SP1428;Birmann 32;São Paulo;SP; 23 35 21S; 046 40 57W;-23.5892;-46.6825;VFR;PRIV;2023-02-23Z
SJ7Y;SP1340;Joli;São Paulo;SP; 23 31 38S; 046 35 13W;-23.5272;-46.5869;VFR DIURNA;PRIV;2023-03-09Z
SIOD;SP0534;DIMEP;São Paulo;SP; 23 31 46S; 046 44 39W;-23.5294;-46.7442;VFR;PRIV;2023-09-28Z
SNMP;SP0882;Hospital Alvorada Moema;São Paulo;SP; 23 36 04S; 046 39 40W;-23.6011;-46.6611;VFR;PRIV;2023-12-05Z
SJ9Q;SP1370;Caio - Induscar Indústria e Comércio de Carrocerias Ltda;Guarulhos;SP; 23 27 01S; 046 27 33W;-23.4503;-46.4592;VFR;PRIV;2023-04-20Z
SN2Z;SP1456;Subprefeitura de Parelheiros;São Paulo;SP; 23 48 59S; 046 44 12W;-23.8164;-46.7367;VFR;PRIV;2023-08-10Z
SI49;SP1185;WT Morumbi;São Paulo;SP; 23 37 25S; 046 42 07W;-23.6236;-46.7019;VFR;PRIV;2022-03-31Z
SDN3;SP9009;Hospital Militar da Área de São Paulo - HMASP;São Paulo;SP; 23 34 13S; 046 36 51W;-23.5703;-46.6142;VFR;MIL;2025-08-28Z
SI8S;SP1297;Comando G8;São Paulo;SP; 23 28 22S; 046 38 23W;-23.4728;-46.6397;VFR DIURNA;PRIV;2022-08-25Z
SI74;SP1280;Company;São Paulo;SP; 23 34 22S; 046 42 12W;-23.5728;-46.7033;VFR;PRIV;2022-07-07Z
SIR6;SP1438;Guarapiranga;São Paulo;SP; 23 41 56.35S; 046 42 57.41W;-23.6989;-46.7158;VFR;PRIV;2024-04-11Z
SS4B;SP0864;Avenida Consolação 1601;São Paulo;SP; 23 33 05.36S; 046 39 20.48W;-23.5514;-46.6556;VFR;PRIV;2024-08-29Z
SS6Y;SP1228;Faria lima Plaza;São Paulo;SP; 23 33 58.70S; 046 41 36.09W;-23.5661;-46.6933;VFR;PRIV;2025-06-12Z
