Código OACI;CIAD;Nome;Município;UF;Latitude;Longitude;LatGeoPoint;LonGeoPoint;Operação;Tipo;Validade do Registro
SJOZ;SP0644;Faria Lima Square;São Paulo;SP;23 35 19S;046 40 58W;-23.5886;-46.6828;VFR;PRIV;2024-10-24Z
SDHQ;SP0347;Shopping Leste Aricanduva;São Paulo;SP; 23 34 01.70S; 046 30 19.69W;-23.5669;-46.5053;VFR DIURNA;PRIV;2025-05-22Z
SDHW;SP0350;Hospital Bandeirantes;São Paulo;SP; 23 33 27S; 046 38 05W;-23.5575;-46.6347;VFR;PRIV;2022-03-24Z
SDOF;SP0393;Edifício Palladio;São Paulo;SP; 23 35 41.91S; 046 41 08.48W;-23.5947;-46.6856;VFR;PRIV;2018-07-19Z
SDMZ;SP0387;Mercedes-Benz do Brasil ;São Bernardo do Campo;SP;23 39 48S;046 34 46W;-23.6633;-46.5794;VFR;PRIV;2018-07-19Z
SWOU;SP0822;Rede Globo 2;São Paulo;SP;23 36 54S;046 41 54W;-23.615;-46.6983;VFR;PRIV;2023-02-09Z
SDSN;SP0417;São Luiz;São Paulo;SP;23 35 26S;046 41 12W;-23.5906;-46.6867;VFR;PRIV;2020-08-06Z
SSYH;SP0791;Hospital Autódromo José Carlos Pace;São Paulo;SP;23 42 00S;046 41 43W;-23.7;-46.6953;VFR;PRIV;2018-07-19Z
SIRY;SP0547;Hiper-Bergamini;São Paulo;SP; 23 27 56.95S; 046 34 54.79W;-23.4656;-46.5817;VFR;PRIV;2024-08-01Z
SDNN;SP0389;Birmann 21;São Paulo;SP; 23 33 55S; 046 42 08W;-23.5653;-46.7022;VFR;PRIV;2018-10-25Z
SDFM;SP0327;DJY;São Paulo;SP; 23 35 50.75S; 046 41 07.53W;-23.5972;-46.6853;VFR;PRIV;2024-09-19Z
SJYB;SP0680;Thabor;Caieiras;SP;23 24 39S;046 40 12W;-23.4108;-46.67;VFR;PRIV;2018-07-19Z
SIBH;SP0467;Helicidade;São Paulo;SP;23 32 48 S;046 44 13W;-23.5467;-46.7369;VFR;PRIV;2021-08-12Z
SSKL;SP0756;JK 1455;São Paulo;SP; 23 35 27S; 046 40 57W;-23.5908;-46.6825;VFR;PRIV;2020-05-14Z
SDPT;SP0407;Parque Paulista;São Paulo;SP;23 33 37S;046 39 33W;-23.5603;-46.6592;VFR;PRIV;2018-07-19Z
SDHA;SP9003;HELPN HASP;São Paulo;SP; 23 30 48S; 046 38 39W;-23.5133;-46.6442;VFR DIURNA;MIL;2023-10-17Z
SSWD;SP0788;Plaza II;São Paulo;SP; 23 36 40S; 046 41 46W;-23.6111;-46.6961;VFR;PRIV;2021-07-08Z
